image_id,image_path,processed
IMG_1902261 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902261 - Viren Viren.jpg,True
IMG_1902262 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902262 - Viren Viren.jpg,False
IMG_1902263 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902263 - Viren Viren.jpg,True
IMG_1902264 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902264 - Viren Viren.jpg,True
IMG_1902265 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902265 - Viren Viren.jpg,True
IMG_1902266 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902266 - Viren Viren.jpg,True
IMG_1902267 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902267 - Viren Viren.jpg,True
IMG_1902268 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902268 - Viren Viren.jpg,False
IMG_1902269 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_1902269 - Viren Viren.jpg,True
IMG_19022610 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022610 - Viren Viren.jpg,True
IMG_19022611 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022611 - Viren Viren.jpg,False
IMG_19022612 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022612 - Viren Viren.jpg,True
IMG_19022613 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022613 - Viren Viren.jpg,True
IMG_19022614 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022614 - Viren Viren.jpg,False
IMG_19022615 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022615 - Viren Viren.jpg,False
IMG_19022616 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022616 - Viren Viren.jpg,True
IMG_19022617 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022617 - Viren Viren.jpg,True
IMG_19022618 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022618 - Viren Viren.jpg,True
IMG_19022619 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022619 - Viren Viren.jpg,True
IMG_19022620 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022620 - Viren Viren.jpg,False
IMG_19022621 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022621 - Viren Viren.jpg,True
IMG_19022622 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022622 - Viren Viren.jpg,True
IMG_19022623 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022623 - Viren Viren.jpg,False
IMG_19022624 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022624 - Viren Viren.jpg,False
IMG_19022625 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022625 - Viren Viren.jpg,True
IMG_19022626 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022626 - Viren Viren.jpg,False
IMG_19022627 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022627 - Viren Viren.jpg,True
IMG_19022628 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022628 - Viren Viren.jpg,True
IMG_19022629 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022629 - Viren Viren.jpg,True
IMG_19022630 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022630 - Viren Viren.jpg,True
IMG_19022631 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022631 - Viren Viren.jpg,False
IMG_19022632 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022632 - Viren Viren.jpg,False
IMG_19022633 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022633 - Viren Viren.jpg,True
IMG_19022634 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022634 - Viren Viren.jpg,True
IMG_19022635 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022635 - Viren Viren.jpg,False
IMG_19022636 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022636 - Viren Viren.jpg,False
IMG_19022637 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022637 - Viren Viren.jpg,False
IMG_19022638 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022638 - Viren Viren.jpg,False
IMG_19022639 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022639 - Viren Viren.jpg,False
IMG_19022640 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022640 - Viren Viren.jpg,True
IMG_19022641 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022641 - Viren Viren.jpg,False
IMG_19022642 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022642 - Viren Viren.jpg,False
IMG_19022643 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022643 - Viren Viren.jpg,True
IMG_19022644 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022644 - Viren Viren.jpg,True
IMG_19022645 - Viren Viren.jpg,C:\Users\user\OneDrive\Desktop\New folder (2)\New folder\smart-tire-analyzer\dataset\raw\tread_images\IMG_19022645 - Viren Viren.jpg,True
